Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000047562.3	Mmp10	1.982646125	3.3030675	0.66222475	-1.37225000866966	0.304861417937876	-7.24256756897901	4.40268965795115e-13	2.79223212517428e-10
ENSMUSG00000082016.3	Pgam1-ps2	4.23061575	8.46123	1.5e-06	-3.24202558818632	1.14930325489535	-7.23825866668973	4.54482031600448e-13	2.80846588758226e-10
ENSMUSG00000025504.13	Eps8l2	6.17187375	8.17877	4.1649775	-0.829538774066114	0.161323604131331	-7.1586905529573	8.14513119624691e-13	4.90744154573876e-10
ENSMUSG00000035799.6	Twist1	36.954325	31.463525	42.445125	0.420374639435456	0.0791841043763667	7.02308365565408	2.17024178028771e-12	1.27567870499838e-09
ENSMUSG00000001604.14	Tcea3	9.3173825	5.65619	12.978575	1.07044877668821	0.187021107521776	6.95359989272444	3.56080602912837e-12	2.04322441195223e-09
ENSMUSG00000032060.10	Cryab	82.15735	58.9063	105.4084	0.828832407300078	0.14054062942023	6.8372416502497	8.0732498223146e-12	4.52477490041353e-09
ENSMUSG00000022780.5	Meltf	1.09780825	2.0840215	0.111595	-1.47218157255267	0.603111394876144	-6.82857009887841	8.57651603163996e-12	4.69759173551189e-09
ENSMUSG00000032085.5	Tagln	44.2720125	33.842725	54.7013	0.676853539212565	0.157399150994354	6.78071182186639	1.19585202283394e-11	6.40445194451064e-09
ENSMUSG00000042644.8	Itpr3	6.2656675	7.577065	4.95427	-0.526559411034822	0.0737511949941493	-6.76506650781623	1.33247974943242e-11	6.98103520898288e-09
ENSMUSG00000044006.8	Cilp2	2.488415	0.6949625	4.2818675	1.63979475578799	0.406500715907653	6.75521338611898	1.4262518856874e-11	7.31333413724813e-09
ENSMUSG00000038677.13	Scube3	1.94218775	2.68495	1.1994255	-0.744518309535255	0.176222666817431	-6.73271243284487	1.66528990966441e-11	8.36114308810675e-09
ENSMUSG00000030862.13	Cpxm2	4.6551825	2.0143225	7.2960425	1.46058950698373	0.306310850692919	6.66846735774275	2.58488525228937e-11	1.27134152204436e-08
ENSMUSG00000052316.9	Lrrc15	8.84179875	5.375245	12.3083525	1.06177929391445	0.196722611142681	6.64498135027468	3.03255470840901e-11	1.46169136945314e-08
ENSMUSG00000073889.10	Il11ra1	27.807025	19.0171	36.59695	0.909382652794613	0.128793589036333	6.58181630399007	4.64735561823426e-11	2.1961033411656e-08
ENSMUSG00000042082.7	Arsb	106.0052375	130.247	81.763475	-0.665218320322402	0.0849046084160134	-6.56927663478724	5.05602760936089e-11	2.34327433433841e-08
ENSMUSG00000025017.9	Pik3ap1	20.0649	25.52535	14.60445	-0.76541427910807	0.104149470704174	-6.56031241352389	5.36951629881971e-11	2.44161024153878e-08
ENSMUSG00000019899.16	Lama2	2.9305525	2.11775	3.743355	0.605402597295402	0.141122418519473	6.49043715372156	8.55876632860112e-11	3.79595286748981e-08
ENSMUSG00000027470.9	Mylk2	1.315661875	0.104839	2.52648475	1.67439464923083	0.721982681605979	6.48861394041288	8.66296297559915e-11	3.79595286748981e-08
ENSMUSG00000032735.14	Ablim3	0.767600125	0.35022325	1.184977	0.694420126817783	0.286797593269055	6.45308896282922	1.09592979033592e-10	4.68550067110231e-08
ENSMUSG00000034205.16	Loxl2	94.4442375	70.862225	118.02625	0.727974270087317	0.134385842821757	6.45140365094229	1.10818895540594e-10	4.68550067110231e-08
ENSMUSG00000032925.16	Itgbl1	3.568178375	1.40007175	5.736285	1.48887564174636	0.333077484683189	6.44582119572578	1.14976149589112e-10	4.77745725016827e-08
ENSMUSG00000021388.14	Aspn	85.9942	53.754925	118.233475	1.12272869107701	0.193940776979857	6.43004780397335	1.27563821134303e-10	5.21065777853678e-08
ENSMUSG00000002831.13	Plin4	1.229054875	0.52942225	1.9286875	0.937267493772627	0.312792129424152	6.39312956089903	1.62524436401163e-10	6.52806486211337e-08
ENSMUSG00000002565.16	Scin	6.56498	9.02251	4.10745	-0.97256877624169	0.156525316577623	-6.38111860243957	1.75799085057815e-10	6.94550483589073e-08
ENSMUSG00000040694.3	Apobec2	5.032009125	1.02416825	9.03985	2.31033659716915	0.512826217214099	6.36679453637664	1.93019457485105e-10	7.5028531054694e-08
ENSMUSG00000033152.13	Podxl2	41.20815	36.3688	46.0475	0.332283827235995	0.0733194376161586	6.34548925897328	2.21719667461422e-10	8.48165712034965e-08
ENSMUSG00000036570.14	Fxyd1	228.84325	191.35675	266.32975	0.474835941755373	0.084634429862639	6.33670686046482	2.34727969065642e-10	8.83897508512809e-08
ENSMUSG00000026674.9	Ddr2	59.6504875	54.895475	64.4055	0.226680463298708	0.0638982622413589	6.25852956275956	3.88624235399848e-10	1.42900878813381e-07
ENSMUSG00000035258.14	Abi3bp	6.27427875	4.6952475	7.85331	0.636458399655557	0.135310361495579	6.25744053186373	3.91346805049093e-10	1.42900878813381e-07
ENSMUSG00000052353.13	Cemip	27.4869	32.0832	22.8906	-0.469655700349416	0.0733348317494634	-6.18605273498263	6.16893781574366e-10	2.21897613969287e-07
ENSMUSG00000028780.13	Sema3c	1.0470855	0.602786	1.491385	0.636366168808044	0.287148079748266	6.1076367935464	1.01117137346404e-09	3.55293749710005e-07
ENSMUSG00000023046.6	Igfbp6	6.72684	2.4100775	11.0436025	1.82039056519028	0.382463236346358	6.10480544040999	1.02925981558328e-09	3.55293749710005e-07
ENSMUSG00000022025.13	Cnmd	39.199718375	76.1133	2.28613675	-4.55251528497901	0.813340912751688	-6.10438485564667	1.03197354687553e-09	3.55293749710005e-07
ENSMUSG00000024578.2	Il17b	4.589712	8.981075	0.198349	-3.05814707650981	0.887310815482932	-6.09435861863393	1.09877091490621e-09	3.7296308520056e-07
ENSMUSG00000030465.19	Psd3	21.07005	19.81325	22.32685	0.164489242255048	0.0600876222921783	6.06759376131522	1.29840819571141e-09	4.3460607662007e-07
ENSMUSG00000027559.5	Car3	726.3615	639.081	813.642	0.347911711755653	0.0781599256691663	6.0527798434075	1.42367378895905e-09	4.69555638617705e-07
ENSMUSG00000004473.10	Clec11a	80.4010125	70.6798	90.122225	0.34623636283444	0.0772181669734656	6.05074343797055	1.4417890978303e-09	4.69555638617705e-07
ENSMUSG00000019326.14	Aoc3	5.6885575	4.57342	6.803695	0.485594517021127	0.112784640640994	6.04014528094091	1.53975526736633e-09	4.94774692580381e-07
ENSMUSG00000028583.14	Pdpn	55.331025	47.004125	63.657925	0.429668827173307	0.0958294766191228	6.02752186096525	1.66492736820009e-09	5.27957231231872e-07
ENSMUSG00000030657.11	Xylt1	4.19253375	5.42386	2.9612075	-0.697500175521653	0.125001471117423	-6.00126434931388	1.95786934711491e-09	6.12787678772328e-07
ENSMUSG00000026288.14	Inpp5d	31.21105	36.8447	25.5774	-0.509891294343632	0.0767003300292036	-5.99766893231917	2.00170087279922e-09	6.18474244031554e-07
ENSMUSG00000033327.16	Tnxb	0.320065875	0.10458525	0.5355465	0.475247433486914	0.418219429587892	5.9908022210742	2.08808451356672e-09	6.36997933885543e-07
ENSMUSG00000033825.9	Tpsb2	1.87397275	0.6360105	3.111935	1.3296354515033	0.403099644479038	5.96993183982847	2.3735272429697e-09	7.15025081944623e-07
ENSMUSG00000034687.8	Fras1	1.469431375	1.04145025	1.8974125	0.505170683810181	0.163920886543236	5.96582297278323	2.43404070169268e-09	7.24202233466587e-07
ENSMUSG00000021703.9	Serinc5	35.5594125	43.447875	27.67095	-0.632524738700632	0.0855590546998447	-5.96116589104217	2.50444552789012e-09	7.36062649050632e-07
ENSMUSG00000038074.16	Fkbp14	49.2703625	45.259225	53.2815	0.230719492236833	0.0528930495744091	5.95418565634189	2.61369966917133e-09	7.58917614783483e-07
ENSMUSG00000031239.5	Itm2a	64.9201125	51.935925	77.9043	0.575856783413697	0.118158136055835	5.92247656786471	3.17129004798441e-09	9.06984822432278e-07
ENSMUSG00000059412.7	Fxyd2	9.89126875	17.549435	2.2331025	-2.52038409276533	0.460790121660524	-5.92105085480923	3.19890912476115e-09	9.06984822432278e-07
ENSMUSG00000004892.13	Bcan	25.761225	21.453375	30.069075	0.468546974757536	0.108763228807928	5.91527149498457	3.31328599893468e-09	9.28490611329369e-07
ENSMUSG00000071347.3	C1qtnf9	1.724215375	0.69392575	2.754505	1.14825207475963	0.355296019448076	5.91244563551222	3.37065113767147e-09	9.33709108251521e-07
ENSMUSG00000052374.15	Actn2	8.65964175	0.9910235	16.32826	3.12154464061812	0.641261852956818	5.88476849468349	3.98611547267551e-09	1.09165207831227e-06
ENSMUSG00000075307.3	Klhl41	1.825279	0.287498	3.36306	1.76077012231369	0.626837447374841	5.85776738353512	4.69131123521546e-09	1.27034382886171e-06
ENSMUSG00000030772.6	Dkk3	26.96315	20.247475	33.678825	0.706763612544933	0.145305374312548	5.83879171120153	5.25807551766843e-09	1.40799577750899e-06
ENSMUSG00000020866.17	Cacna1g	17.079	14.109675	20.048325	0.478232800614075	0.0928327284324975	5.83453605923786	5.3940442235182e-09	1.42853259106361e-06
ENSMUSG00000039084.8	Chad	18.59014125	27.1481	10.0321825	-1.3513193155497	0.225398116729448	-5.82452883467754	5.72739493473684e-09	1.50032845572998e-06
ENSMUSG00000025867.8	Cplx2	15.0077125	18.1387	11.876725	-0.571727125334443	0.0850609081073867	-5.80140494158939	6.57615736054686e-09	1.70414400418472e-06
ENSMUSG00000042254.14	Cilp	1.114581	0.2148045	2.0143575	1.31112637157203	0.58239005765191	5.79594701280124	6.79367127186807e-09	1.74178167714916e-06
ENSMUSG00000031849.9	Comp	76.3132875	133.32835	19.298225	-2.72633833767966	0.485460026054079	-5.78425201402609	7.28356816225179e-09	1.84772623905545e-06
