Symbol	ExpMean	Exp Samples A	Exp Samples B	log2FC	lfcSE	Stat	p-value	padj
ENSMUSG00000032332.17	Col12a1	76.41896	102.76604	50.07188	-1.02273329135888	0.168982527787452	-7.5473246323293	4.44290180174706e-14	3.87597261749559e-11
ENSMUSG00000031762.7	Mt2	74.4821	36.88506	112.07914	1.5776318783487	0.194604515695692	7.54462367662715	4.53595391163908e-14	3.87597261749559e-11
ENSMUSG00000005583.16	Mef2c	163.80138	224.8828	102.71996	-1.12288086499148	0.173880743196541	-7.51147435821974	5.84651242094971e-14	4.8739949889771e-11
ENSMUSG00000059201.12	Lep	2.424062	0.77981	4.068314	1.50978266987998	0.306541647759063	7.4423858903844	9.88828647001354e-14	7.72153312812262e-11
ENSMUSG00000021643.15	Serf1	22.246827	33.85458	10.639074	-1.58237196057619	0.264237032434491	-7.44225302324229	9.89824007662631e-14	7.72153312812262e-11
ENSMUSG00000024501.19	Dpysl3	33.68132	43.59458	23.76806	-0.848387504970542	0.173114598059959	-7.44005791129794	1.00641170793452e-13	7.72153312812262e-11
ENSMUSG00000027559.5	Car3	161.14002	224.1214	98.15864	-1.18289281610389	0.204360067212894	-7.43872907558214	1.01658569562761e-13	7.72153312812262e-11
ENSMUSG00000034220.7	Gpc1	56.77163	67.9452	45.59806	-0.565180221136169	0.151654138500954	-7.4128072860742	1.23653510365559e-13	9.18799344411914e-11
ENSMUSG00000022010.19	Tsc22d1	103.11966	134.8688	71.37052	-0.908740160447093	0.170364259194286	-7.37005026059173	1.70563720302098e-13	1.20436652852735e-10
ENSMUSG00000010830.8	Kdelr3	8.72139	12.5166	4.92618	-1.1895579460082	0.22378084469373	-7.36947774730029	1.71297754564185e-13	1.20436652852735e-10
ENSMUSG00000026062.12	Slc9a2	2.3159536	3.302256	1.3296512	-0.884979405073495	0.271421962538369	-7.36693858242757	1.74590868280391e-13	1.20436652852735e-10
ENSMUSG00000036334.12	Igsf10	12.902177	17.04442	8.759934	-0.886609474638749	0.170374836423642	-7.36573005828187	1.76180007098793e-13	1.20436652852735e-10
ENSMUSG00000000903.3	Vpreb3	12.039485	19.54898	4.52999	-1.89371800719028	0.352069025382871	-7.30327158070656	2.80853482808462e-13	1.88226902792024e-10
ENSMUSG00000025743.14	Sdc3	72.6356	97.15604	48.11516	-0.998908647293554	0.182933107872244	-7.29584817629492	2.96783422963624e-13	1.95078026863398e-10
ENSMUSG00000016382.15	Pls3	20.68684	25.59478	15.7789	-0.664494964687446	0.158901875853577	-7.27474692503778	3.47070485200069e-13	2.23827720455441e-10
ENSMUSG00000001494.6	Sost	277.6877	342.138	213.2374	-0.679578545333007	0.135747869984891	-7.25171638737703	4.11522904890063e-13	2.6047875720634e-10
ENSMUSG00000034205.16	Loxl2	22.57997	30.38324	14.7767	-0.992198834055266	0.192533589342549	-7.23493075403494	4.65766725027977e-13	2.89452848390114e-10
ENSMUSG00000033207.6	Mamdc2	4.750769	7.014666	2.486872	-1.20070899431141	0.258547241008008	-7.2145035048938	5.41311132263104e-13	3.30393116084873e-10
ENSMUSG00000030513.14	Pcsk6	32.19509	40.2896	24.10058	-0.718057741261868	0.182156700387632	-7.19721091988047	6.14566600161009e-13	3.6852432269304e-10
ENSMUSG00000024232.1	Bambi	7.55223	9.968672	5.135788	-0.838068324519412	0.177309009038837	-7.18959141249994	6.49854991920324e-13	3.82966269376495e-10
ENSMUSG00000031626.17	Sorbs2	53.81849	71.29642	36.34056	-0.953180645091948	0.153819800370345	-7.18463851885615	6.73852326229222e-13	3.90377500178217e-10
ENSMUSG00000026576.12	Atp1b1	24.142732	34.50222	13.783244	-1.26394635523363	0.26188986295304	-7.14854422532576	8.77029957748691e-13	4.99614732597504e-10
ENSMUSG00000058806.14	Col13a1	13.637433	19.64332	7.631546	-1.25798412410684	0.249094913948977	-7.14124899268581	9.24866414453847e-13	5.18228426984139e-10
ENSMUSG00000055116.8	Arntl	9.050943	12.21615	5.885736	-0.940619192222945	0.190945459425243	-7.13206983438709	9.88706849775945e-13	5.45064518150674e-10
ENSMUSG00000060935.6	Tmem263	16.73363	23.71532	9.75194	-1.20080859334565	0.186137650865215	-7.12111391057531	1.07058262782273e-12	5.80833559031442e-10
ENSMUSG00000004105.8	Angptl2	18.249466	26.74294	9.755992	-1.36698009506197	0.217479108833084	-7.0994744169883	1.25232223957865e-12	6.6881834607497e-10
ENSMUSG00000053863.3	Mepe	157.62529	198.8962	116.35438	-0.768379358546122	0.159502570765523	-7.07045549098029	1.5442596172171e-12	8.12042980253545e-10
ENSMUSG00000057729.12	Prtn3	113.52737	58.35914	168.6956	1.51540706270134	0.174949367172423	7.03209342463682	2.03457489550618e-12	1.05366318073335e-09
ENSMUSG00000057614.6	Gnai1	5.731974	7.905562	3.558386	-0.966183561934884	0.206332265800112	-7.02042502692225	2.21194329493023e-12	1.12842122120471e-09
ENSMUSG00000027073.5	Prg2	256.3516	340.6076	172.0956	-0.980771019417915	0.177017194020194	-7.00326410833503	2.50066787352416e-12	1.25695335172141e-09
ENSMUSG00000029307.7	Dmp1	164.8188	207.658	121.9796	-0.762721215481822	0.157394369532832	-6.99706689978576	2.61376500171249e-12	1.29476069215265e-09
ENSMUSG00000074486.2	Bglap2	1472.11753	2695.76	248.47506	-3.43425963186851	0.606869940497022	-6.95623705619454	3.49481611636679e-12	1.70646878367739e-09
ENSMUSG00000024924.14	Vldlr	33.14875	44.37958	21.91792	-0.985567143599057	0.178705554492847	-6.92494784138922	4.36136183315682e-12	2.09959644306056e-09
